userName,score,at,label_data,content
Erik Lah,5,11/21/2022 20:03,positif,"Sangat cocok dipakai untuk belanja online, sebagai pengganti atm"
A' Robi Ardriyansyah,1,11/21/2022 19:57,negatif,"Kalau mau kirim gopay harus masukkan ktp terlalu ribet,, lemot juga kalau buka"
Wiji Astuty,5,11/21/2022 19:48,positif,"Bagus, mudah dan pasti aman digunakan"
Veri Pratama,5,11/21/2022 19:47,positif,"dana mudah banget, pertahankan berikan juga gratis kirim tanpa batas"
Muhammad Nur Efendi,1,11/21/2022 19:42,negatif,"Pelayanan kurang baik,, pertanyaan hanya dibalas dengan pesan otomatis,, tidak membantu"
Nandangbhae Bhae,5,11/21/2022 19:39,positif,Praktis dan terbukti sangat efisien dalam mengelola saldo
Antonius Junisa,5,11/21/2022 19:38,positif,"aplikasi DANA sangat membantu transaksi saya dalam mengirim uang, jadi saya beri 5 bintang"
Ahmad Hanif,2,11/21/2022 19:35,negatif,Fiturnya kalau kirim susah mohon diperbaiki supaya lebih mudah
Zain Ramadhan,3,11/21/2022 19:33,negatif,"kecewa gangguan,, shopeepay tidak bisa dipakai..."
Cahyana Baron,5,11/21/2022 19:27,negatif,Kenapa dana jadi aneh??? Transfer sekarang sering gangguan
Ilham Fadhilah akabr,2,11/21/2022 19:27,negatif,"Aneh, Saldonya tidak masuk sudah dua hari. Bagaimana?"
Timbul Juniawan,5,11/21/2022 19:15,positif,Sangat mudah menggunakan fitur gopay untuk saya
kanuk scout,5,11/21/2022 19:14,positif,"terbaik transfer pakai gopay,, tidak ribet dan cepat sekali"
Dede Fikri Andika,5,11/21/2022 19:08,positif,"Dana selalu bisa diandalkan, membantu banget�"
Syahputra Ridwan,5,11/21/2022 18:55,positif,semoga lebih bagus dari sebelumnya.. pengamanan sangat penting bagi saya
Rus Wanto,5,11/21/2022 18:52,positif,Aplikasi yang sangat bagus apalagi gopay mudah digunakan
Kang Asep,5,11/21/2022 18:33,negatif,"aneh, kenapa uang tidak masuk ke akun dana saya sudah 3 hari padahal keterangannya transaksi berhasil"
Maman Suparman,5,11/21/2022 18:31,positif,sangat bagus dan bermanfaat untuk saya dan memudahkan kirim ke keluarga
Ondy On (Ondy),5,11/21/2022 18:22,negatif,Kok setelah diperbarui gak bisa dibuka ya? Kalau sudah gangguan jadi malas
Max Liey,5,11/21/2022 18:20,positif,Aplikasi yang sangat membantu dan mudah penggunaannya sehari-hari 👌
Riski Maydiyansah,5,11/21/2022 18:19,positif,"Mantap pakai aplikasi dana,, bisa kirim dengan cepat dan mudah 🤔🤔🤔"
Anti Rubi,1,11/21/2022 18:16,negatif,"Sudah coba pakai gopay, tapi bermasalah terus, ribet juga registrasinya....."
Sapu Jagat,5,11/21/2022 18:15,positif,keren sekali untuk gopay ini gampang juga kalau mau pakai
wawan Tolle,5,11/21/2022 18:06,positif,minta tolong jangan buat susah pendaftaran gopay later.terimakasih
Melvinnarelafifah Official,1,11/21/2022 18:06,negatif,"Sekarang kalau pakai gopay juga semakin mahal dan pakai biaya aplikasi, jadi malas"
Rama Frammada,3,11/21/2022 17:59,negatif,"gak suka, lemot aplikasinya, banyak gangguan"
ucin Aja,5,11/21/2022 17:41,positif,"sangat membantu saya dalam menghemat, karena bentuk saldo"
Suningrat Adhe,5,11/21/2022 17:40,positif,"tingkatkan lagi kualitasnya, agar semakin menjadi aplikasi digital terbaik"
Krisna Krisna,3,11/21/2022 17:39,negatif,Padahal bikin baru pakai nomor lain tapi disuruh masuk password aneh banget
Juma Jumajuma,5,11/21/2022 17:37,positif,Mudah dalam menggunakan fitur yang ada di aplikasinya
Wahyu channel,5,11/21/2022 17:29,positif,Susah banget ya masuk ke dana? Kadang juga gangguan
multazam 89,4,11/21/2022 17:17,positif,biaya transfer gratis kalau untuk sesama pengguna ovo
Muhamad Jidan,5,11/21/2022 17:11,positif,mantap banget� saya sebagai pengguna gopay merasa terbantu karena aplikasi ini
Mahesa Dimas,5,11/21/2022 17:05,positif,"Luar biasa ya, selalu bagus pelayanan gojek, dan gopay selalu aman "
Mimar Maulana Yusup,5,11/21/2022 16:56,positif,"Mudah dan komplit,, itu untuk gojek dan gopay yang selalu saya gunakan setiap saat"
Santo. Wahyudi13,5,11/21/2022 16:53,positif,"cocok sekali aplikasi ini dengan saya yang malas keluar, fitur gopay membantu mengirim uang kemana saja"
Nori Dwiyantin,5,11/21/2022 16:46,positif,Aplikasi yang sangat membantu mahasiswa dalam kendaraan ataupun transfer uang dengan gopay
David Saputra,1,11/21/2022 16:24,negatif,"Beli voucher di gopay, belum dipakai vouchernya hilang.. admin tidak respon"
MyjiGae next,5,11/21/2022 16:16,positif,"mudah sekali pakai gopay, daripada yang lainnya lebih percaya sama gopay"
Herawati 123,1,11/21/2022 16:13,negatif,Order lewat gofood makanannya habis dan dibatalkan tapi dana gopay sudah dipotong dan tidak kembali.
Su Magisk,1,11/21/2022 16:07,negatif,Banyak update aplikasi sehingga kurang menarik lagi. gopay koin dibuat apa kalau hanya produk tokopedia saja??
Galih,1,11/21/2022 15:59,negatif,"Saldo saya diblokir, padahal tidak transaksi yang aneh, hanya transaksi gopay"
roy andre 44,5,11/21/2022 15:58,positif,"Mantap gopay, mudah sekali kalau mau mengirim uang ke teman"
Lukpy lukpy,5,11/21/2022 15:50,positif,"Oke sejauh ini tidak ada kendala, semoga gopay semakin maju di aplikasi gojek ini"
Niz Lov,1,11/21/2022 15:46,negatif,"Tidak ada kantornya, kalau ada kendala kesulitan harus telpon pulsa,, mahal. "
Abdul Malik (Maliq),5,11/21/2022 15:40,positif,"tidak perlu diragukan, pasti aman kalau saldo di gopay"
Star minishop,5,11/21/2022 15:39,positif,Aplikasinya mantap... bagus... tingkatkan kualitasnya .. sukses !
lismen saudara,5,11/21/2022 15:35,positif,"sangat membantu saya dalam menyimpan uang, karena ada fitur gopay.."
Yudha Fuq,1,11/21/2022 15:22,negatif,"Ini kenapa gagal kirim,, mana saldonya sudah berkurang gimana ini"
Edi Ahmad,5,11/21/2022 15:17,positif,"Oke banget, keren aplikasinya apalagi gopay mudah."
Nanda Zakarya,1,11/21/2022 15:16,negatif,Aplikasi paling sering gangguan..aneh...aplikasi bikinan bocah SD..ngak jelas kali kau
Masriah Mas,1,11/21/2022 15:16,negatif,"Sudah malas pakai ovo,sudah lemot bangte, gak jelas aplikasi"
Lukman Nulhakim,5,11/21/2022 15:05,positif,keren dan mantap untuk gopay sukses selalu
Ciproet Bakekok,4,11/21/2022 15:05,positif,"Sebenarnya ini Aplikasi bagus tapi sayangnya kadang suka Lemot kalau buka gopay, tapi masih oke"
Yusuf Hamid,5,11/21/2022 15:02,positif,"Bagus layanannya, minta tolong buat akun gopay, dibantu selama saya pakai gojek"
Aris Riswandi,5,11/21/2022 15:00,positif,"Bagus selalu, tidak mengecewakan, dan tetap konsisten untuk gopay"
Indra Lesmana,5,11/21/2022 14:56,positif,Bagus pokoknya sukses selalu untuk gojek dan gopay sebagai urusan keuangan
Syukuriapa Yangada,1,11/21/2022 14:52,negatif,"Susah sekali kirim kode nya,, mau buka gopay tidak bisa"
The SS654,5,11/21/2022 14:50,positif,"Bagus,, adanya gopay sangat membantu saya dalam kirim uang"
Iwan Erliin,3,11/21/2022 14:48,positif,"banyak untung kalau sering pakai linkaja, jadi lebih hemat"
Bani Albani,4,11/21/2022 14:43,positif,Sangat membantu melancarkan usaha saya untuk melakukan pembayaran di gopay
Riana Rahadatul 'Aisy,1,11/21/2022 14:42,negatif,"Malas pakai ovo,, Gak pernah dapat poin padahal sudah ikuti sesuai prosedur promo."
Hadi Kukut,5,11/21/2022 14:39,positif,Kedepannya gojek terus berikan voucher potongan diskon untuk pengguna gopay ya .
Euis Pihartini1968,5,11/21/2022 14:35,positif,"Aplikasi oke,, buat transfer di gopay juga cepat sekali"
Faaa Cans,1,11/21/2022 14:33,negatif,Saldo gopay tidak bisa kembali padahal saya kena tipu org ya sudah ikhlas aja
Syamsi Benknew,4,11/21/2022 14:19,positif,"semoga berhasil dan memuaskan,, gojek tidak perlu diragukan, pasti aman, simpan di gopay aman juga"
heru heru,5,11/21/2022 14:17,positif,Terimakasih gojek karena sudah membuatkan fitur gopay yang sangat membantu
Ncis Mus,1,11/21/2022 14:17,negatif,Sangat kecewa dengan aplikasi gopay. Kenapa tiba2 lemot.. Terus saya keluar. Mau log in lagi gabisa.
Daniel Christian,5,11/21/2022 14:11,positif,"Gojek luar biasa,, gopay juga sangat membantu untuk kirim saldo ke rekening"
Enjang Sandi,5,11/21/2022 14:02,positif,"Gopay bisa dijadikan alat untuk menabung lewat saldo,, praktis dan efektif juga"
Evan Syarif,5,11/21/2022 14:02,positif,Aplikasi ini sangat membantu saya untuk kirim uang ke teman
ommie celet,1,11/21/2022 13:59,negatif,"Malas pakai ovo .isi saldo ada biaya admin mahal, gak jelas banget"
Ria Srg,1,11/21/2022 13:57,negatif,diskon gak bisa digabung kalau pakai gopay juga susah
Berlin Divaa,1,11/21/2022 13:55,negatif,"biaya layannanya termasuk mahal sekali,, pakai gopay juga mahal"
Resky Sandidi,1,11/21/2022 13:53,negatif,ovo kenapa tidak bisa kirim uang sesama ovo?? Pasti gangguan
Emalia Mukbang Tv,5,11/21/2022 13:50,positif,"Mantap untuk saya yang malas, gopay cukup membantu untuk memenuhi kebutuhan online.."
jaya karta,5,11/21/2022 13:50,positif,"Mudah digunakan ovo ini, kalau bisa tambahkan fitur lain yang berbeda untuk pengguna"
Rangga Pradipta,1,11/21/2022 13:49,negatif,"aplikasinya semakin ribet, lemot, gak jelas..."
Sarpani Pani,5,11/21/2022 13:47,positif,Paling bagus dan terpercaya memang gopay untuk jadi transaksi online 🌴🍼🍺🍬
Berth Hans,5,11/21/2022 13:43,positif,"Cepat, mudah dan aman,, karena ovo sudah terpercaya 👌"
Mr CreatorZ,1,11/21/2022 13:42,negatif,"aneh, saya isi 30 ribu gak masuk sampai sekarang kemana uang saya?"
Zalfa Muzam Channel,5,11/21/2022 13:40,positif,"Mantap banget ovo, kalau banyak bonus semakin banyak pengguna"
RAMBO 23,1,11/21/2022 13:39,negatif,Kalau buat aplikasi yang jelas... Saya sudah isi saldo kenapa saat transfer sering gagal???
wahyu lesmana,5,11/21/2022 13:38,positif,Cepat...aman...terpercaya.. Dan selalu bisa diandalkan karena pakai gopay
Anggun Rina Anawati,5,11/21/2022 13:37,positif,"aman pakai gopay, bagus untuk transaksi online dimanapun, karena lengkap"
Zainuri Zainuri,5,11/21/2022 13:37,positif,"Linkaja memuaskan,, bagus untuk transaksi online"
Irvan Basten,1,11/21/2022 13:33,negatif,"Saya sudah isi saldo tapi saldo tidak bertambah,, eror lagi,, kesal"
Bintang Naraya,1,11/21/2022 13:32,negatif,Ovo gak bisa transfer ke sesama ovo. Sudah laman masih saja belum bisa
Mar'atin Sholeha,5,11/21/2022 13:29,negatif,"Sedih, tiba tiba gak bisa dipakai gopay, karena terdeteksi aneh. Alasannya gak jelas."
Mahdi Karunia,5,11/21/2022 13:22,positif,suka aplikasi lokal.. ayo pakai gojek dan gopay
selfiyanti safitri,5,11/21/2022 13:22,positif,gojek semua layananya terutama gopay memudahkan saya
Sri Martono,5,11/21/2022 13:20,positif,"Bagus, cepat, efisien, keren,, gojek fiturnya nyaman terutama gopay"
Irwan Dwi Saputra,4,11/21/2022 13:19,negatif,Masih Lambat kadang kalau Buka Menunya seperti gopay...
Mas Malik,5,11/21/2022 13:17,positif,"Pertama kali pakai fitur gopay di gojek, memang mudah sekali untuk saya"
Rohiman Man,5,11/21/2022 13:16,positif,"Bagus dari sistemnya,, semoga juga bisa ditingkatkan bonusnya"
Syafrian Hasmar,5,11/21/2022 13:13,positif,"Gojek dan gopay mantap serba cepat, selalu bisa diandalkan untuk kebutuhan 🚴"
Sri Sugiarti,4,11/21/2022 13:11,positif,"Bagus, bisa jadi aplikasi digital terbaik daripada yang lain"
Daman Huri,5,11/21/2022 13:10,positif,"Suka, sangat membantu untuk transfer. Keren sekali 👍👍"
Marhaen Cellistiano Akustik,1,11/21/2022 13:09,negatif,kenapa kendala isi saldo harus menunggu lama?? Tolong segera diperbaiki
Dimas Pratama,2,11/21/2022 13:08,negatif,"Tidak bisa buat transfer, padahal saya pengguna baru🙂"
Edy Nugroho,5,11/21/2022 13:04,positif,Gopay membantu saya apabila ingin membeli kebutuhan mendesak
Dedi Hermansyah,5,11/21/2022 13:04,positif,"Oke mantap ovo,, pertahankan kualitas yang dipercaya"
Putra Ari Wijaya,5,11/21/2022 13:03,positif,Terima kasih gopay yang sudah ada dan menggunakannya sangat mudah
luthfy light,4,11/21/2022 13:02,positif,"Cukup membantu,, apalagi untuk gopay bisa memudahkan dalam belanja online"
Raiq Abdullah,5,11/21/2022 13:02,positif,"Jadi mudah transfer ke bank, tanpa harus ke atm"
Lasitodenis Denis,4,11/21/2022 12:55,positif,"Bagus untuk pembayaran, hanya pilih di fitur dengan mudah"
Raden Agoes,4,11/21/2022 12:52,positif,"Makin enak pakai gojek,, ada promo kadang kalau pesan makanan bayar pakai gopay"
Y S,5,11/21/2022 12:51,positif,"Semua Pembayaran jadi mudah dan cepat� Pertahankan kualitasnya,, terima kasih.."
wira arka,5,11/21/2022 12:49,positif,"Oke banget, layanan cepat sekali, tadi kirim uang langsung masuk"
Desby Komaling,5,11/21/2022 12:49,positif,"Sangat bagus bertransaksi pakai ovo,, aman pastinya"
Azizshietari Ganong,5,11/21/2022 12:48,positif,Bagus sekali untuk kirim saldo dan belanja online juga bisa
ASHud Family,5,11/21/2022 12:47,positif,"oke sih gopay,, kalau untuk saya bisa digunakan sebagai pengganti atm.."
Juni Anto,5,11/21/2022 12:46,positif,"Gojek ini kalau diperbarui semakin enak, lancar, buka gopay jadi mudah"
Cen Ay,4,11/21/2022 12:46,positif,"Cukup bagus dan aman, Buat pengiriman ke bank lain diperbanyak dan kalau bisa dikirim ke aplikasi yang lain. Terima kasih."
adi Wardhana,4,11/21/2022 12:44,negatif,ini gopay kok semakin bermasalah?? Tolong diperbaiki lagi ...
Weny Ardian,5,11/21/2022 12:42,positif,"suka banget pakai gopay,, tagihan saya bisa lebih murah daripada sebelumnya"
Ahmad Sholihudin Muzaqi,5,11/21/2022 12:42,positif,"cepat, mudah & praktis.... Bisa untuk bayar tagihan listrik"
Hari Rubiyanto,5,11/21/2022 12:39,positif,"Murah dan semua bisa pakai gojek, apalagi pakai gopay banyak promo"
Wahyu oi,5,11/21/2022 12:39,positif,Sangat membantu memudahkan urusan keuangan.. Apalagi kalau bukan gopay??
Yusuf Bakhtiyar,1,11/21/2022 12:39,negatif,"Kurang puas, kecewa dengan pelayanannya semakin buruk"
ACHMAD Sabaruddin,5,11/21/2022 12:36,positif,"Bagus dan cepat aplikasinya,, buka gopay jadi lancar dan cepat prosesnya"
Kamsir Setiaganda,5,11/21/2022 12:35,positif,Saya baru coba isi kuota ternyata cepat sekali prosesnya ! 👍
Yasru Yu,1,11/21/2022 12:31,negatif,"Sudah tidak bisa digunakan,, ganti ke aplikasi lain"
Budir Ronamawi,5,11/21/2022 12:24,positif,"Sukses linkaja, semoga semakin bagus pelayanannya"
yani sjmk7,5,11/21/2022 12:08,positif,Bagus sekali untuk bayar belanja online kalau lagi malas keluar..
afif fardiansyah,1,11/21/2022 11:53,negatif,Bisa tolong perbaiki? Saya pesan gofood dengan bayar di gopay tidak bisa keluar menunya. Padahal sinyal sangat baik.
dwiputra blacklist,2,11/21/2022 11:50,negatif,Ribet banget mau transfer gopay ke nomor lain harus upgrade dulu.
Rusdiono Yono,5,11/21/2022 11:40,positif,Terima kasih linkaja sangat memuaskan karena cepat dan akurat..
kusnadi ca2001,5,11/21/2022 11:34,positif,Sangat baik untuk melakukan kirim uang dimana saja dan kapan saja
Muryane Shi,4,11/21/2022 11:34,negatif,"Gopay tolong ya, ini kenapa sering gangguan?? Biasanya gopay gak gini!!"
hari yanto,5,11/21/2022 11:33,positif,sangat membantu untuk bayar online dan bisa digunakan dimana saja
Rafa Ilham,5,11/21/2022 11:33,positif,"Aku suka dengan ovo karena sudah bisa diakses di banyak toko, jadi mudah untuk transaksi :)"
GIAN GAMING,2,11/21/2022 11:33,negatif,Isi saldo di gopay 4 kali tidak masuk apa alasannya coba jelaskan gojek
Nad Raina,4,11/21/2022 11:28,positif,"Bagus,, sampai terkesan sama ovo bisa lengkap fiturnya"
Nayla Gunawan,5,11/21/2022 11:22,positif,"Mantap pakai ovo,, bisa untuk bayar pulsa juga"
Tengu Ireng,5,11/21/2022 11:09,positif,"Selalu aman kalau pakai ovo, kualitasnya terjamin"
yudi ramon,4,11/21/2022 11:01,positif,"cukup memuaskan,, pakai aplikasi ini sudah lama"
Muh Saputra,5,11/21/2022 10:41,positif,"Sangat mendukung untuk transaksi sehari-hari,, mudah dan cepat"
Agus Ags,5,11/21/2022 10:23,positif,Banyak promonya di gopay. Gak ribet.. Semoga lebih baik lagi dan ditambah promo yang lain..
Taufik Hidayat,5,11/21/2022 10:22,positif,Keren sekali gojek bisa membuat fitur gopay yang membantu menyimpan saldo uang
Nehan Yowan,5,11/21/2022 10:22,positif,"Gopay memang bisa diandalkan,, jangan khawatir pasti aman 👍"
Heru Setiawan,1,11/21/2022 10:21,negatif,Kecewa banget sekarang bayar di gopay juga gak bisa dua bonusnya
Suhadi Enyenk,5,11/21/2022 10:13,positif,Mantap sangat membantu untuk setiap keperluan dan gratis biaya admin
AHMAD AJIE KURNIAWAN,5,11/21/2022 10:13,positif,Aplikasi sangat membantu transaksi pembayaran
yonas setiawan,5,11/21/2022 10:11,positif,"bisa kirim uang ke bank mana saja, cepat masuk juga"
Ari Ogeb,5,11/21/2022 10:10,positif,"Oke pakai ovo enak juga, mudah karena daftarnya juga cepat"
Muhlis Kangayan,2,11/21/2022 10:10,negatif,Sudah upgrade tapi masi saja bermasalah. Tambah eror jadinya di gopay
Iwansetiawan Setiawan,5,11/21/2022 10:01,positif,Ovo keren ditambah ada potongan juga..
Dody Santoro,5,11/21/2022 9:59,positif,"Memudahkan transaksi di zaman saat ini, banyak promo juga, jadi bisa lebih hemat"
Menik sragen,5,11/21/2022 9:59,positif,"Bagus banget, baru menggunakan ovo dan cocok dipakai"
Andry Fajar,5,11/21/2022 9:57,positif,"Bagus sekali dengan menggunakan gopay,, semua bisa diatasi dengan mudah"
SABIANO,5,11/21/2022 9:55,positif,"Terima kasih gopay, uang saya aman. Dan transaksinya aman."
Sujono Bdi,5,11/21/2022 9:55,positif,"Transfer cepat, bisa isi saldo lewat online juga"
Alie Apam,1,11/21/2022 9:53,negatif,Gojek ngadain promo ptongan harga.. giliran orang mau belanja dengan gopay akunnya diblokir .
Jaini Halim,5,11/21/2022 9:52,positif,"Mantap dengan ovo, uang aman, kirim juga prosesnya cepat"
Endi Hermanto,2,11/21/2022 9:48,negatif,Ovo memang payah.. menyulitkan pengguna. Padahal aplikasinya membuat kesal
AEDI AMRULLOH,5,11/21/2022 9:46,positif,"Saya dapat uang dan dikirim ke OVO, cepat prosesnya"
Fendy Lee,2,11/21/2022 9:45,negatif,Tarik dana pajaknya sampai 2 ribu lebih parah sekali jauh beda dengan dana yang tidak ada potongan saat transfer
Aditia Pratama,5,11/21/2022 9:43,positif,Aplikasi sangat berguna dan mudah dalam transaksi dimana saja
Fajar Rahmadani,1,11/21/2022 9:43,negatif,"Biaya admin mahal, biaya makanan mahal, biaya ojek mahal, pakai gopay sama saja mahal, proses komplain lama.."
Edwin Bojonegoro barat,5,11/21/2022 9:33,positif,"Mantap untuk pembayaran online, mudah digunakan"
Ahmad Napis,5,11/21/2022 9:33,positif,Sangat membantu.. Dapat diandalkan dan aman untuk transfer ke rekening
Yaka yak,5,11/21/2022 9:30,positif,"Mantap linkaja, bisa membantu meringankan pekerjaan. sering adakan promo juga 🤣"
Iin Nafisah,1,11/21/2022 9:21,negatif,kenapa voucher gopay tidak bisa digabungkan sekarang.
Azmi Raimdri,5,11/21/2022 9:17,positif,Dengan adanya gopay sangat membantu memudahkan transaksi...semangat
Taufik Ismail,1,11/21/2022 9:14,negatif,Mau bayar gopay tapi eror... Otomatis tidak bisa bayar.. Ini yang salah aplikasi
Endar Firmansyah,4,11/21/2022 9:08,positif,Mau ambil uang sendiri susah bagaimana ini??
Ade Bali Tours,3,11/21/2022 8:37,negatif,"Tolong jangan abaikan saran dari pengguna, ini sudah eror berapa kali, harusnya perbaiki dulu"
Nur Elza,1,11/21/2022 8:28,negatif,sudah lama pakai gojek tapi sekarang kecewa. Pakai gopay untuk bayar listrik bermasalah sampai bingung
Maya Yulianti,4,11/21/2022 8:23,positif,"cukup puas, bisa bayar tagihan pulsa dari ovo, jadi lebih hemat"
Atho Illah,1,11/21/2022 8:23,negatif,Sekarang bonus dari poin gopay gak bisa dipakai bersamaan lagi dengan promo dari resto
titian usang,5,11/21/2022 8:22,positif,Serba mudah� sangat terbantu untuk transaksi dan transfer ke aplikasi lain...
Maurin Karlota,3,11/21/2022 8:21,positif,"Kalau butuh makan, bisa beli online pakai gopay bayarnya"
Mashuri Lubis,5,11/21/2022 8:19,positif,"mantap,, pakai linkaja terpercaya dan dijamin aman.."
Zeo Bky,4,11/21/2022 7:58,positif,Sangat bermanfaat untuk yang biasa kirim uang online
Ilham Nguil,1,11/21/2022 7:58,negatif,"Pelayanannya lama,, pindah aplikasi saja"
Siti Hamidah,4,11/21/2022 7:55,negatif,Sekarang gojek gak bisa pakai 2 promo langsung padahal sering pakai fitur gopay yang biasanya ada
zakY FADel,3,11/21/2022 7:52,negatif,Gojek langganan saya dari dulu Tapi kenapa sekarang ongkos kirim jadi mahal ya? Padahal pakai gopay
SUJALI ANTO,4,11/21/2022 7:46,positif,Gopay paling aman menurut saya untuk digunakan transaksi online
Roby Maulana,1,11/21/2022 7:46,negatif,Ini gimnaa sih aplikasi lemot gak dikembalikan uang saya ..
Soleh DM,3,11/21/2022 7:46,negatif,"Kecewa, gangguan aplikasinya, lemot juga kalau digunakan"
Endang Sutrisno,4,11/21/2022 7:44,positif,paling bagus tetap gopay untuk bayar keperluan online
Dheby Elzamaura,2,11/21/2022 7:41,negatif,"Saya tidak bisa upgrade OVO, padahal data diri sudah benar semua. Saya tidak bisa transfer uang saya ke bank."
nurciah herliana putri,5,11/21/2022 7:38,positif,"Aplikasi dengan fitur terbaik, memudahkan penggunanya. Sangat membantu bertransaksi cepat. Sangat rekomendasi ."
Fahmatul Mustafida,5,11/21/2022 7:36,positif,Sukses selalu ovo.. Terima kasih karena memudahkan pekerjaan banyak orang
Raka Ahdian,5,11/21/2022 7:36,positif,"Mantap, pakai ovo sudah enak, semoga kualitasnya dipertahankan"
son reke,5,11/21/2022 7:35,positif,"Mantap sekali, bisa saya andalkan ovo untuk belanja online"
Boy Rah-Tob Lub,5,11/21/2022 7:25,positif,"Aplikasi praktis,efisien, sistematis dan lengkap tentu gojek dengan fitur gopay"
Dwi Cahyo,5,11/21/2022 7:03,positif,"Penggunaan aplikasi mudah dan cepat, efisien"
Iman Muhkal,5,11/21/2022 7:03,negatif,"Gopay lagi eror?? saya isi saldo, notifikasinya sudah masuk tapi di gopay belum masuk dan belum ada riwayatnya"
Zuki Kiper23,2,11/21/2022 7:03,negatif,Semakin susah buat transaksi...kalau buat transfer kadang gagal juga
Bangun Prakoso,4,11/21/2022 7:02,positif,"Saya tetap pakai dan bagus sampai sekarang, meskipun ada biaya admin"
Reuben,2,11/21/2022 6:50,negatif,"ongkir gofood mahal,, ayo tambahkan lagi gratis ongkir kalau bayar pakai gopay!!"
Yudi Raditia,1,11/21/2022 6:44,negatif,gak ada solusi sama sekali transfer selalu gagal padahal saldo cukup
Siti Aisyah,5,11/21/2022 6:40,positif,"Bagus untuk transaksi online, tapi Bagaimana bersihin riwayat? bisa kasih tau cara???"
Dewi Ayu,3,11/21/2022 6:30,negatif,"Susah dapat bonus, kalau bukan ke ovo ada biaya lain, jadi malas"
wahid wahyudi,5,11/21/2022 6:20,positif,Aplikasi yang sangat membantu untuk beli apa saja apalagi online 🥰
Parlan Supar,4,11/21/2022 6:18,positif,Sangat mudah dalam pembayaran apapun..
Candra Cagur,1,11/21/2022 6:17,negatif,Susah upgrade premium jadi gak bisa transfer uang ..
TikTok Indonesia,2,11/21/2022 6:12,negatif,"Sudah 2 hari, transaksi saya gagal terus knapa ini"
LAMPUNG Corner,2,11/21/2022 6:01,negatif,mana promo kalau pakai gopay?? Kok gak ada? Bohong ya?
heru prast,4,11/21/2022 5:38,positif,"Dengan bantuan gopay, cukup memudahkan usaha saya di rumah"
rαchel,3,11/21/2022 5:35,negatif,gojek kenapa ya? kalau aplikasinya lagi bermasalah tolong segera perbaiki ya.. Mau pakai gopay terganggu
Devi Agustina,1,11/21/2022 5:34,negatif,"Akun saya diblokir, uangnya gak bisa diambil bagaimana? Tolong!!!"
Dina Try,2,11/21/2022 5:29,negatif,"Kecewa dengan ""ongkir dan biaya layanannya cukup mahal"". Jadi percuma pakai gopay"
Akh Tau,1,11/21/2022 5:23,negatif,kalau mau transaksi kenapa sering eror? Apakah belum diperbaiki??
yeni oktarina,1,11/21/2022 5:19,negatif,"gopay saya tidak bisa dipakai, ntah kenapa. keterangannya proses tidak berhasil."
Wong Ireng 1922,4,11/21/2022 5:16,positif,"Dulu kirim uang gratis sekarang ada biaya admin, tapi tetap puas pakai linkaja"
Djasiman,5,11/21/2022 5:11,positif,bagus pakai linkaja pasti dijamin aman dan mudah digunakan
Sarah Rahmayanti,3,11/21/2022 4:58,negatif,"Tolong kalau naik tarifnya jangan besar banget,, Apalagi kalau pakai gopay lagi"
Sukirman kirman,2,11/21/2022 4:49,negatif,Kenapa kalau pesan makanan banyak gak bisa pakai gopay? jadinya kan kurang praktis dan tidak efisien
Jepret 032,1,11/21/2022 4:30,negatif,"Aplikasi semakin aneh,, selalu mengalami gangguan,,"
Meirina Hadiatus,5,11/21/2022 4:14,positif,"Semakin bagus bayar lewat gopay, kalau ada kendala cepat ditangani"
Muna dhiroh,5,11/21/2022 4:12,negatif,"Tolong fitur gopay diperbaiki lagi,, kadang mau transfer tiba-tiba gangguan"
Nuzul Abdi,2,11/21/2022 3:57,negatif,"Kenapa sulit ini aplikasinya??? Biasanya aman, sekarang semakin banyak eror"
Harif Junianto,4,11/21/2022 3:49,positif,"nyaman, aplikasi mudah dengan fitur yang lengkap dan praktis"
Samsul Hidayat,1,11/21/2022 3:45,negatif,"Gangguan selalu,, susah,,jadi gak nyaman lagi "
Rachelia da silva Dasilva,3,11/21/2022 3:29,negatif,Tolong kenapa sekarang kalau bayar di gopay gak bisa pakai 2 promo langsung??
vaselline reansya,1,11/21/2022 3:24,negatif,"jelek, gabisa 2 voucher,, jadi malas pakai gopay lagi 👎🏻👎🏻👎🏻"
Nining Hasanah,5,11/21/2022 3:20,positif,Saya sering pakai gopay.. Nyaman dan aman untuk keperluan transfer
sutanto tanto,1,11/21/2022 3:15,negatif,Promonya pelit dan sulit.. Pakai gopay sama saja mahal sekali
teguh handoyo,5,11/21/2022 3:13,positif,Cepat dan jelas dalam menanggapi komplain saya untuk gopay. semakin bagus 👍👍👍
Erik Mardianto,5,11/21/2022 3:07,positif,"Sangat membantu...mungkin promonya lebih banyak lagi, apalagi pakai gopay"
Agus Kerta,5,11/21/2022 3:06,positif,Bagus gopay ini bisa jadi andalan saya kalau malas keluar untuk bayar keperluan
Ris Wanto,2,11/21/2022 3:04,negatif,Link sering eror sudah gitu telfon admin mahal banget
Marlis Reza Alamsyah,1,11/21/2022 3:03,negatif,"Bagaimana ini saya beli pulsa status sudah berhasil,tapi saldo belum masuk"
H. ADE JUANDA,5,11/21/2022 3:01,positif,"Mantap semua pembayaran lebih mudah, simpel, cepat."
RUdI Films,2,11/21/2022 2:56,negatif,"Sekarang isi saldo dipotong seribu, mahal"
